low_gap_enjoy_old,low_gap_enjoy_new,low_gap_you_enjoy,low_gap_interesting_old,low_gap_interesting_new,low_gap_clear_old,low_gap_clear_new,low_gap_gender,low_gap_age,,medium_gap_enjoy_old,medium_gap_enjoy_new,medium_gap_you_enjoy,medium_gap_interesting_old,medium_gap_interesting_new,medium_gap_clear_old,medium_gap_clear_new,medium_gap_gender,medium_gap_age,medium_gap_education,high_gap_enjoy_old,high_gap_enjoy_new,high_gap_you_enjoy,high_gap_interesting_old,high_gap_interesting_new,high_gap_clear_old,high_gap_clear_new,high_gap_gender,high_gap_age,,low_gap_good_new_old,low_gap_good,low_gap_clear,medium_gap_good_new_old,medium_gap_good,medium_gap_clear,high_gap_new_old,high_gap_good,high_gap_clear,,w,m,x,y,,z,w,x,m,y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,2,5,6,,2,6,1,7,,2,2,1,6,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.5,5,2,5.5,6,,2,6,1,6,,2,2,1,6,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,7,2,4,2,,2,3,1,3,,2,2,1,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,4.5,,2,2,1,6,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,6,,2,2,1,6,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,3,,2,2,1,7,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,4,,2,2,1,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,3,,2,2,1,6,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,4.5,,2,2,1,4,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,2,,2,2,1,5,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,5,,2,2,1,6,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,4.5,,2,2,1,6,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,4,,2,2,1,6,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,2,,2,2,1,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,7,,2,2,1,6,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,6,,2,2,1,6,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,5,,2,2,1,6,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,3,,2,2,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,6.5,,2,2,1,6,6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,6,,2,2,1,4,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,6,,2,2,1,6,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,,2,2,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,5.5,,2,2,1,6,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,6,,2,2,1,6,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,5,,2,2,1,5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,3.5,,2,2,1,6,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,5.5,,2,2,1,5,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,4.5,,2,2,1,6,4.5
